Date,Doctors_Required,General_Nurses_Required,ICU_Nurses_Required,Doctor_Cost,General_Nurse_Cost,ICU_Nurse_Cost,Total_Minimum_Daily_Cost
2024-12-31,30,117,63,150000.0,136500.0,94500.0,381000.0
2025-01-01,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-02,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-03,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-04,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-05,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-06,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-07,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-08,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-09,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-10,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-11,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-12,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-13,32,123,66,160000.0,143500.0,99000.0,402500.0
2025-01-14,32,123,66,160000.0,143500.0,99000.0,402500.0
2025-01-15,32,123,66,160000.0,143500.0,99000.0,402500.0
2025-01-16,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-17,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-18,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-19,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-20,32,123,66,160000.0,143500.0,99000.0,402500.0
2025-01-21,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-22,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-23,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-24,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-25,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-26,32,120,63,160000.0,140000.0,94500.0,394500.0
2025-01-27,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-28,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-29,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-30,32,120,66,160000.0,140000.0,99000.0,399000.0
2025-01-31,32,120,66,160000.0,140000.0,99000.0,399000.0
