Date,Predicted_Patients,Z_score,Surge_Alert,Outbreak,Outbreak_Alert
2024-12-31,329.0,-0.0,NO,-1,YES
2025-01-01,331.0,-0.0,NO,1,NO
2025-01-02,331.0,-0.0,NO,1,NO
2025-01-03,331.0,-0.0,NO,1,NO
2025-01-04,332.0,-0.0,NO,1,NO
2025-01-05,332.0,-0.0,NO,-1,YES
2025-01-06,332.0,-0.0,NO,1,NO
2025-01-07,332.0,-0.0,NO,1,NO
2025-01-08,332.0,-0.0,NO,1,NO
2025-01-09,332.0,-0.0,NO,1,NO
2025-01-10,332.0,-0.0,NO,1,NO
2025-01-11,332.0,-0.0,NO,1,NO
2025-01-12,332.0,-0.0,NO,1,NO
2025-01-13,332.0,-0.0,NO,1,NO
2025-01-14,332.0,-0.0,NO,1,NO
2025-01-15,332.0,-0.0,NO,1,NO
2025-01-16,331.0,-0.0,NO,1,NO
2025-01-17,331.0,-0.0,NO,1,NO
2025-01-18,332.0,-0.0,NO,1,NO
2025-01-19,331.0,-0.0,NO,1,NO
2025-01-20,331.0,3.0,NO,-1,YES
2025-01-21,331.0,-0.0,NO,1,NO
2025-01-22,331.0,-0.0,NO,1,NO
2025-01-23,331.0,-0.0,NO,1,NO
2025-01-24,331.0,-0.0,NO,1,NO
2025-01-25,331.0,-0.0,NO,1,NO
2025-01-26,331.0,-0.0,NO,1,NO
2025-01-27,331.0,3.0,NO,1,NO
2025-01-28,331.0,3.0,NO,1,NO
2025-01-29,331.0,-0.0,NO,1,NO
2025-01-30,331.0,3.0,NO,1,NO
2025-01-31,331.0,3.0,NO,1,NO
