Date,Predicted_ICU_Admissions
2024-12-31,24.715371711522227
2025-01-01,25.441171222510473
2025-01-02,25.52515452290311
2025-01-03,25.567282675828633
2025-01-04,25.5857438932323
2025-01-05,25.41625057144196
2025-01-06,25.53091278996437
2025-01-07,25.44251861663987
2025-01-08,25.193096331278927
2025-01-09,25.276287456124866
2025-01-10,25.32233550808301
2025-01-11,25.34949133200114
2025-01-12,25.19339079746166
2025-01-13,25.32591995955418
2025-01-14,25.25951647005826
2025-01-15,25.0357247611222
2025-01-16,25.14758297084939
2025-01-17,25.22464100321948
2025-01-18,25.284372712545718
2025-01-19,25.16158161151484
2025-01-20,25.32728163827256
2025-01-21,25.2930407000905
2025-01-22,25.099546264875585
2025-01-23,25.23901949017299
2025-01-24,25.340271316362312
2025-01-25,25.420125333671862
2025-01-26,25.312850269359796
2025-01-27,25.489050044677388
2025-01-28,25.46003817967631
2025-01-29,25.266397843621373
2025-01-30,25.40040297895333
2025-01-31,25.49108850756292
